text,label
plus you ve added commercials to the experience tacky,1
yes nearly every time I fly VX this ear worm won t go away,1
Well I didn t but NOW I DO D,1
it was amazing and arrived an hour early You re too good to me,1
I lt 3 pretty graphics so much better than minimal iconography D,1
This is such a great deal Already thinking about my 2nd trip to amp I haven t even gone on my 1st trip yet p,1
I m flying your fabulous Seductive skies again U take all the stress away from travel,1
Thanks,1
So excited for my first cross country flight LAX to MCO I ve heard nothing but great things about Virgin America 29DaysToGo,1
I flying,1
you know what would be amazingly awesome BOS FLL PLEASE I want to fly with only you,1
I love this graphic,1
I love the hipster innovation You are a feel good brand,1
this is great news America could start flights to Hawaii by end of year via,1
Moodlighting is the only way to fly Best experience EVER Cool and calming MoodlitMonday,1
Done and done Best airline around hands down,1
View of downtown Los Angeles the Hollywood Sign and beyond that rain in the mountains,1
I m elevategold for a good reason you rock,1
wow this just blew my mind,1
Julie Andrews all the way though was very impressive NO to,1
you know it Need it on my spotify stat guiltypleasures,1
I m Lady Gaga She is amazing,1
love all three but you really can t beat the classics,1
Congrats on winning the award for Best Deals from an Airline US,1
not worried it s been a great ride in a new plane with great crew All airlines should be like this,1
awesome I flew yall Sat morning Any way we can correct my bill,1
I ve applied more then once to be a member of the inflight crew team Im 100 interested flightattendant dreampath G,1
amazing customer service again RaeAnn in SF she s the best customerservice virginamerica flying,1
has getaway deals through May from 59 one way Lots of cool cities CheapFlights FareCompare,1
has getaway deals through May from 59 one way Lots of cool cities CheapFlights FareCompare,1
Have a great week,1
come back to PHL already We need you to take us out of this horrible cold pleasecomeback,1
is the best airline I have flown on Easy to change your reservation helpful representatives amp a comfortable flying experience,1
and again Another rep kicked butt Naelah represents your team so beautifully Thank you,1
your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure,1
Love the team running Gate E9 at LAS tonight Waited for a delayed flight and they kept things entertaining,1
thanks to your outstanding NYC JFK crew who moved mountains to get me home to San Francisco tonight,1
you have the absolute best team and customer service ever Every time I fly with you I m delighted Thank you,1
completely awesome experience last month BOS LAS nonstop Thanks for such an awesome flight and depart time VAbeatsJblue,1
you ROCK for making it so I can watch Oscars on my flight redcarpet oscars oscars2015,1
always Xoxo,1
best customer service rep in the world irmafromDallas takes the cake,1
you have amazing staff amp super helpful as I just ran the PrincessHalf they have spoiled me with comfort,1
Always have it together You re welcome RT You re so welcome,1
flight home to dc sunset globe in backtowinter back to work refreshed,1
thank you for checking in tickets are purchased and customer is happy,1
Thank you for the follow,1
RT You ve met your match Got status on another airline Upgrade restr,1
Only way to fly Elevate Gold,1
you will match my AmericanAirlines status Cool,1
thanks,1
I love your guy s song We re dancing to it for our high school dance revue,1
done Thank you for the quick response apparently faster than sitting on hold,1
cool picture of another VirginAmerica plane off our wing What a site,1
Keep up the great work,1
my goodness your people field are amazing under pressure from Texas beatstheothers in crisis Please fly me to NY,1
Thanks for a great flight from LA to Boston Pilots did a great job landing in the snow Can we go back to LA now seriously,1
Thanks so much for the awesome support you guys rock,1
twitter team you guys killed it for rescheduling me asap thank you,1
when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love,1
wish I can afford to fly with you next Friday going back home love everything about your airline,1
Like,1
You have the best flight attendant ever,1
Awesome RT Watch nominated films at 35 000 feet MeetTheFleet Oscars,1
thanks so much,1
the only airline based in Silicon Valley disruption FCmostinnovative incubator s,1
Very nicely done,1
I m looking forward to watching the Oscars on my flight home tomorrow I might even get something bubbly to drink,1
hahaha YOU GUYS ARE AMAZING I LOVE YOU GUYS,1
sounds like fun,1
classiq luv Virgin America Greetingz,1
Thanks for your great customer service today amp for helping me get all my travel sorted out,1
thanks guys Sweet route over the Rockies airplanemodewason,1
love the 90s music blasting at gate in Boston while waiting for flight to SanFrancisco Only if I could get an iced coffee,1
thank you for the easy itinerary shift for impending weather Quick painless amp free,1
Thanks Good times there and back Vodkatonics the entire flight sfo,1
you re doing a great job adding little luxuries aesthetics that improve the air travel experience Thank you Keep it up,1
thanks for gate checking my baggage on your full flight dfw lax 883 and giving me early boarding too sweet,1
I see what you did there,1
your inflight team makes the experience amazing,1
cutest salt and pepper shaker ever Just when I think you guys can t get any better you just do,1
fav airline,1
we have a hot female pilot Sweet DCA to SFO,1
Thank you,1
would love to do more for virgin just like I do for,1
